,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
68,Shane Warne,15,7,2,70,22*,14.0,59,118.64,0,0,7,2
69,Ajit Agarkar,9,6,1,54,20,10.8,46,117.39,0,0,5,2
70,Shoaib Malik,7,5,1,52,24,13.0,47,110.63,0,0,5,0
71,Arjun Yadav,8,6,1,49,16,9.8,39,125.64,0,0,5,2
72,Sanjay Bangar,11,7,1,47,17*,7.83,49,95.91,0,0,1,3
73,Balachandra Akhil,7,7,4,46,27*,15.33,31,148.38,0,0,4,3
74,Dwayne Smith,4,3,0,45,20,15.0,40,112.5,0,0,5,1
75,Aakash Chopra,5,5,0,42,24,8.4,52,80.76,0,0,5,0
76,LPC Silva,3,3,1,40,23*,20.0,26,153.84,0,0,5,1
77,Ricky Ponting,4,4,0,39,20,9.75,53,73.58,0,0,2,1
78,Umar Gul,6,4,1,39,24,13.0,19,205.26,0,0,1,5
79,Dominic Thornely,6,4,2,39,30,19.5,53,73.58,0,0,2,2
80,Amit Mishra,6,3,0,37,31,12.33,42,88.09,0,0,3,0
81,Sohail Tanvir,11,5,2,36,13,12.0,29,124.13,0,0,3,1
82,Manpreet Gony,16,5,4,35,15*,35.0,23,152.17,0,0,2,3
83,Luke Ronchi,4,4,0,34,13,8.5,32,106.25,0,0,6,1
84,Mahesh Rawat,11,7,3,34,23*,8.5,39,87.17,0,0,3,1
85,Rajat Bhatia,9,3,1,34,17,17.0,28,121.42,0,0,2,2
86,Zaheer Khan,11,8,4,34,17*,8.5,43,79.06,0,0,4,0
87,Pinal Shah,5,4,0,34,19,8.5,35,97.14,0,0,4,0
88,Dinesh Salunkhe,6,3,1,33,26*,16.5,24,137.5,0,0,5,0
89,Tatenda Taibu,3,3,0,31,15,10.33,26,119.23,0,0,3,0
90,Harbhajan Singh,3,3,1,30,28,15.0,17,176.47,0,0,1,3
91,Murali Kartik,6,3,0,30,17,10.0,27,111.11,0,0,3,0
92,Ramesh Powar,5,1,1,28,28*,0.0,21,133.33,0,0,4,1
93,RP Singh,14,9,5,27,10,6.75,24,112.5,0,0,2,1
94,Saurabh Tiwary,3,2,0,26,17,13.0,20,130.0,0,0,3,1
95,Wilkin Mota,4,2,1,26,25,26.0,27,96.29,0,0,2,0
96,Shivnarine Chanderpaul,3,3,0,25,16,8.33,31,80.64,0,0,4,0
97,Vinay Kumar,8,4,1,25,23,8.33,22,113.63,0,0,2,1
98,Musavir Khote,4,3,1,24,9,12.0,22,109.09,0,0,2,1
99,Jagadeesh Arunkumar,3,3,0,23,22,7.66,23,100.0,0,0,5,0
100,Chaminda Vaas,5,4,1,21,12*,7.0,18,116.66,0,0,0,1
101,Bharat Chipli,3,3,0,20,10,6.66,28,71.42,0,0,3,0
102,Mohammad Hafeez,8,3,1,20,13,10.0,22,90.9,0,0,2,1
103,Darren Lehmann,2,2,0,18,17,9.0,18,100.0,0,0,3,0
104,Siddharth Chitnis,3,2,0,18,15,9.0,10,180.0,0,0,1,1
105,Jacob Oram,4,3,2,18,13,18.0,12,150.0,0,0,1,1
106,Brett Lee,4,3,2,17,16*,17.0,13,130.76,0,0,2,1
107,Chamara Kapugedera,5,3,0,16,8,5.33,23,69.56,0,0,0,0
108,Joginder Sharma,8,3,1,16,16,8.0,11,145.45,0,0,1,1
109,Yo Mahesh,11,5,3,15,6*,7.5,27,55.55,0,0,0,0
110,Devraj Patil,2,2,0,13,9,6.5,13,100.0,0,0,1,0
111,Anil Kumble,10,5,3,13,8,6.5,17,76.47,0,0,1,0
112,Brad Hodge,3,3,0,12,10,4.0,17,70.58,0,0,2,0
113,Ishant Sharma,13,6,5,11,4*,11.0,11,100.0,0,0,1,0
114,Nuwan Zoysa,3,2,1,11,10*,11.0,9,122.22,0,0,1,0
115,Makhaya Ntini,9,2,1,11,11,11.0,18,61.11,0,0,2,0
116,Taruwar Kohli,2,2,0,10,7,5.0,15,66.66,0,0,0,1
117,Dimitri Mascarenhas,1,1,0,9,9,9.0,8,112.5,0,0,0,1
118,Ashley Noffke,1,1,0,9,9,9.0,10,90.0,0,0,1,0
119,Tanmay Srivastava,5,2,1,8,7,8.0,10,80.0,0,0,0,0
120,Rohan Raje,6,3,3,8,6*,0.0,9,88.88,0,0,1,0
121,Sunil Joshi,4,2,0,6,3,3.0,14,42.85,0,0,0,0
122,Pankaj Singh,5,2,2,5,4*,0.0,8,62.5,0,0,0,0
123,Siddharth Trivedi,15,3,2,5,3*,5.0,12,41.66,0,0,0,0
124,Sunny Sohal,2,2,0,4,4,2.0,8,50.0,0,0,0,0
125,Ajinkya Rahane,2,2,0,4,4,2.0,17,23.52,0,0,1,0
126,Vikram Singh,13,2,0,4,4,2.0,3,133.33,0,0,1,0
127,Glenn McGrath,14,3,2,4,4*,4.0,5,80.0,0,0,1,0
128,Younis Khan,1,1,0,3,3,3.0,7,42.85,0,0,0,0
129,Doddapaneni Kalyankrishna,3,1,0,3,3,3.0,8,37.5,0,0,0,0
130,Mohammad Asif,8,2,0,3,3,1.5,6,50.0,0,0,0,0
131,Ashish Nehra,14,4,3,3,2*,3.0,13,23.07,0,0,0,0
132,Manish Pandey,3,2,0,3,3,1.5,9,33.33,0,0,0,0
133,Ashok Dinda,13,3,2,2,1*,2.0,4,50.0,0,0,0,0
134,Pragyan Ojha,13,4,2,2,1*,1.0,4,50.0,0,0,0,0
135,Pradeep Sangwan,7,2,0,2,2,1.0,5,40.0,0,0,0,0
136,Shoaib Akhtar,3,1,0,2,2,2.0,7,28.57,0,0,0,0
137,Halhadar Das,1,1,0,2,2,2.0,5,40.0,0,0,0,0
138,Vikrant Yeligati,2,1,0,2,2,2.0,2,100.0,0,0,0,0
139,Dilhara Fernando,5,1,1,2,2*,0.0,1,200.0,0,0,0,0
140,Dhawal Kulkarni,10,1,1,2,2*,0.0,16,12.5,0,0,0,0
141,Dale Steyn,10,2,1,2,1*,2.0,5,40.0,0,0,0,0
142,Paidikalva Vijaykumar,9,2,2,1,1*,0.0,1,100.0,0,0,0,0
143,Srikkanth Anirudha,1,1,0,1,1,1.0,7,14.28,0,0,0,0
144,PM Sarvesh Kumar,2,1,1,1,1*,0.0,2,50.0,0,0,0,0
145,Iqbal Abdulla,1,1,1,1,1*,0.0,2,50.0,0,0,0,0
146,Munaf Patel,15,2,2,0,0*,0.0,1,0.0,0,0,0,0
147,Abdur Razzak,1,1,1,0,0*,0.0,2,0.0,0,0,0,0
148,Lakshmipathy Balaji,9,1,0,0,0*,0.0,4,0.0,0,0,0,0
149,Abhinav Mukund,2,1,0,0,0*,0.0,1,0.0,0,0,0,0
150,Matthew Hayden,12,12,1,572,89,52.0,395,144.81,0,5,60,22
151,Adam Gilchrist,16,16,0,495,85,30.93,325,152.3,0,3,54,29
152,Suresh Raina,14,14,0,434,98,31.0,308,140.9,0,2,37,21
153,JP Duminy,13,12,3,372,62,41.33,325,114.46,0,5,26,11
154,Herschelle Gibbs,14,14,3,371,69*,33.72,331,112.08,0,4,32,12
155,Brad Hodge,12,12,3,365,73,40.55,310,117.74,0,3,34,9
156,Sachin Tendulkar,13,13,2,364,68,33.09,303,120.13,0,2,39,10
157,Rohit Sharma,16,16,3,362,52,27.84,315,114.92,0,1,22,18
158,Jacques Kallis,15,15,2,361,69*,27.76,332,108.73,0,3,37,8
159,Yuvraj Singh,14,14,2,340,58*,28.33,294,115.64,0,2,25,16
160,MS Dhoni,14,13,5,332,58*,41.5,261,127.2,0,2,22,9
161,Kumar Sangakkara,14,13,2,332,60,30.18,324,102.46,0,2,29,5
162,Ravindra Jadeja,13,13,2,295,42,26.81,266,110.9,0,0,21,6
163,Brendon McCullum,13,13,1,285,84*,23.75,239,119.24,0,2,27,12
164,Ross Taylor,11,11,2,280,81*,31.11,208,134.61,0,1,20,15
165,Rahul Dravid,13,12,0,271,66,22.58,234,115.81,0,1,28,3
166,Andrew Symonds,8,8,1,249,60*,35.57,166,150.0,0,1,15,11
167,Virat Kohli,16,13,2,246,50,22.36,219,112.32,0,1,22,8
168,Yusuf Pathan,13,13,1,243,62*,20.25,183,132.78,0,1,24,12
169,Tirumalasetti Suman,12,12,2,237,41*,23.7,190,124.73,0,0,18,8
170,Sanath Jayasuriya,12,12,0,221,52,18.41,192,115.1,0,2,23,7
171,Mahela Jayawardena,10,10,4,219,52*,36.5,165,132.72,0,1,17,7
172,Dwayne Bravo,11,10,2,218,70*,27.25,203,107.38,0,2,15,8
173,Dwayne Smith,8,8,0,215,49,26.87,132,162.87,0,0,12,15
174,Graeme Smith,12,12,1,212,77,19.27,216,98.14,0,1,27,1
175,Irfan Pathan,14,12,2,196,39,19.6,158,124.05,0,0,17,6
176,Abhishek Nayar,13,11,2,193,35,21.44,152,126.97,0,0,14,7
177,Sourav Ganguly,13,11,0,189,46,17.18,207,91.3,0,0,13,6
178,Subramaniam Badrinath,14,11,2,177,59*,19.66,164,107.92,0,1,20,4
179,Robin Uthappa,15,13,2,175,66*,15.9,170,102.94,0,1,18,3
180,Chris Gayle,7,7,1,171,44*,28.5,143,119.58,0,0,15,10
181,Naman Ojha,8,8,1,168,68,24.0,144,116.66,0,2,11,11
182,Manish Pandey,5,4,2,168,114*,84.0,118,142.37,1,0,17,4
183,Mark Boucher,12,9,4,150,48*,30.0,116,129.31,0,0,8,6
184,Simon Katich,9,9,0,145,50,16.11,117,123.93,0,1,15,6
185,Ajinkya Rahane,8,7,1,144,62*,24.0,123,117.07,0,2,12,3
186,Parthiv Patel,9,9,0,142,36,15.77,126,112.69,0,0,19,2
187,Ravi Bopara,5,5,0,138,84,27.6,119,115.96,0,1,8,7
188,Venugopal Rao,16,13,2,124,32,11.27,114,108.77,0,0,6,3
189,Karan Goel,9,9,1,124,38,15.5,133,93.23,0,0,9,4
190,Roelof van der Merwe,10,8,0,122,35,15.25,98,124.48,0,0,8,8
191,Sunny Sohal,8,8,0,115,43,14.37,93,123.65,0,0,9,8
192,Shane Warne,13,11,3,108,34*,13.5,116,93.1,0,0,6,4
193,Rob Quiney,7,7,0,103,51,14.71,102,100.98,0,1,12,3
194,David Hussey,4,4,0,98,43,24.5,59,166.1,0,0,7,6
195,Swapnil Asnodkar,8,8,0,98,44,12.25,93,105.37,0,0,11,4
196,Albie Morkel,12,10,6,97,21*,24.25,70,138.57,0,0,8,4
197,Kevin Pietersen,6,6,0,93,37,15.5,85,109.41,0,0,8,2
198,Jacob Oram,11,8,2,88,41*,14.66,93,94.62,0,0,5,4
199,Harbhajan Singh,13,10,2,84,20,10.5,53,158.49,0,0,6,5
200,Laxmi Ratan Shukla,9,6,1,83,48*,16.6,85,97.64,0,0,5,3
201,Lee Carseldine,5,5,1,81,39,20.25,68,119.11,0,0,11,0
202,Abhishek Raut,9,7,3,78,36*,19.5,61,127.86,0,0,5,3
203,Wriddhiman Saha,8,7,4,72,25*,24.0,41,175.6,0,0,3,4
204,Azhar Bilakhia,6,6,2,67,22,16.75,81,82.71,0,0,5,0
205,Ajit Agarkar,11,7,5,66,39,33.0,57,115.78,0,0,3,3
206,Dwaraka Ravi Teja,9,6,3,65,27,21.66,70,92.85,0,0,7,0
207,Praveen Kumar,13,8,3,65,14*,13.0,46,141.3,0,0,1,6
208,Andrew Flintoff,3,3,1,62,24,31.0,53,116.98,0,0,5,2
209,Murali Vijay,4,4,0,60,31,15.0,67,89.55,0,0,4,2
210,Jesse Ryder,5,5,0,56,32,11.2,49,114.28,0,0,9,0
211,Shreevats Goswami,2,2,0,53,43,26.5,60,88.33,0,0,6,0
212,Pinal Shah,9,5,2,53,29,17.66,51,103.92,0,0,4,2
213,Vinay Kumar,11,8,3,47,12,9.4,44,106.81,0,0,4,1
214,Yashpal Singh,8,4,0,47,20,11.75,66,71.21,0,0,5,0
215,Johan Botha,3,3,1,47,37,23.5,40,117.5,0,0,5,0
216,George Bailey,3,2,0,45,30,22.5,39,115.38,0,0,7,0
217,Luke Pomersbach,4,4,0,41,26,10.25,49,83.67,0,0,3,1
218,Shikhar Dhawan,5,4,0,40,22,10.0,45,88.88,0,0,3,0
219,Shikhar Dhawan,5,4,0,40,22,10.0,45,88.88,0,0,3,0
220,Dimitri Mascarenhas,5,4,0,39,27,9.75,39,100.0,0,0,4,0
221,Moises Henriques,4,3,1,38,30*,19.0,40,95.0,0,0,2,1
222,Munaf Patel,11,5,2,33,23*,11.0,26,126.92,0,0,5,0
223,Piyush Chawla,14,10,5,31,8*,6.2,36,86.11,0,0,3,0
224,Chaminda Vaas,2,2,1,30,20,30.0,21,142.85,0,0,1,1
225,Wilkin Mota,8,6,1,30,12,6.0,48,62.5,0,0,0,0
226,Brett Lee,5,4,2,28,14*,14.0,34,82.35,0,0,2,1
227,Amit Mishra,11,5,2,26,13*,8.66,20,130.0,0,0,2,2
228,Ramesh Powar,9,4,3,23,10,23.0,22,104.54,0,0,2,0
229,Murali Kartik,10,2,2,21,11*,0.0,20,105.0,0,0,0,0
230,Ryan Harris,8,5,4,21,9*,21.0,18,116.66,0,0,0,0
231,Joginder Sharma,4,2,1,20,16*,20.0,18,111.11,0,0,0,1
232,Shadab Jakati,9,2,1,20,13,20.0,15,133.33,0,0,3,0
233,Rajesh Bishnoi,3,3,0,19,18,6.33,17,111.76,0,0,1,2
234,VVS Laxman,5,5,0,19,10,3.8,33,57.57,0,0,1,1
235,Niraj Patel,4,2,0,18,14,9.0,38,47.36,0,0,1,0
236,Balachandra Akhil,6,3,1,17,9,8.5,15,113.33,0,0,1,1
237,Angelo Mathews,1,1,0,16,16,16.0,13,123.07,0,0,2,0
238,Mahesh Rawat,5,3,3,16,8*,0.0,19,84.21,0,0,1,0
239,Ishant Sharma,11,3,1,16,9,8.0,13,123.07,0,0,1,1
240,Ishant Sharma,11,3,1,16,9,8.0,13,123.07,0,0,1,1
241,Anil Kumble,16,7,6,16,7*,16.0,19,84.21,0,0,2,0
242,Wasim Jaffer,2,2,0,15,8,7.5,17,88.23,0,0,2,0
243,Graham Napier,1,1,0,15,15,15.0,16,93.75,0,0,1,0
244,Scott Styris,2,1,0,14,14,14.0,8,175.0,0,0,0,1
245,Saurabh Tiwary,4,3,2,13,6*,13.0,12,108.33,0,0,0,0
246,Manpreet Gony,7,3,1,13,7,6.5,7,185.71,0,0,0,2
247,Rohan Raje,4,2,1,12,11*,12.0,9,133.33,0,0,0,1
248,Tyron Henderson,2,2,0,11,11,5.5,16,68.75,0,0,0,1
249,Aakash Chopra,2,1,0,11,11,11.0,19,57.89,0,0,2,0
250,Dillon du Preez,2,1,0,10,10,10.0,13,76.92,0,0,0,0
251,Shane Harwood,3,2,2,9,6*,0.0,14,64.28,0,0,0,0
252,Siddharth Trivedi,7,3,1,9,6*,4.5,18,50.0,0,0,0,0
253,Dhawal Kulkarni,8,4,2,9,7*,4.5,17,52.94,0,0,0,0
254,Ravichandran Ashwin,2,1,0,8,8,8.0,15,53.33,0,0,1,0
255,Zaheer Khan,6,4,3,8,4*,8.0,11,72.72,0,0,0,0
256,Morne Morkel,2,1,0,8,8,8.0,8,100.0,0,0,1,0
257,Muttiah Muralitharan,13,4,2,8,4,4.0,8,100.0,0,0,1,0
258,RP Singh,16,6,2,8,4,2.0,17,47.05,0,0,0,0
259,Arindam Ghosh,2,2,0,7,7,3.5,8,87.5,0,0,1,0
260,Shoaib Shaikh,2,1,0,6,6,6.0,7,85.71,0,0,1,0
261,Siddharth Chitnis,1,1,0,6,6,6.0,8,75.0,0,0,1,0
262,Paul Valthaty,2,2,0,6,5,3.0,12,50.0,0,0,1,0
263,Shanthakumaran Sreesanth,7,2,2,5,4*,0.0,18,27.77,0,0,1,0
264,Lakshmipathy Balaji,13,4,1,4,2*,1.33,10,40.0,0,0,0,0
265,Kamran Khan,5,1,0,3,3,3.0,5,60.0,0,0,0,0
266,Thilan Thushara,2,2,1,2,1*,2.0,7,28.57,0,0,0,0
267,Mashrafe Mortaza,1,1,1,2,2*,0.0,2,100.0,0,0,0,0
268,Ashok Dinda,9,2,0,2,2,1.0,3,66.66,0,0,0,0
269,Mohammad Ashraful,1,1,0,2,2,2.0,10,20.0,0,0,0,0
270,Pankaj Singh,3,2,1,1,1*,1.0,2,50.0,0,0,0,0
271,Shoaib Ahmed,7,3,1,1,1*,0.5,6,16.66,0,0,0,0
272,Amit Singh,5,2,1,1,1*,1.0,3,33.33,0,0,0,0
273,Pragyan Ojha,15,4,1,1,1,0.33,7,14.28,0,0,0,0
274,Taruwar Kohli,2,2,1,1,1,1.0,4,25.0,0,0,0,0
275,Ajantha Mendis,4,1,0,0,0*,0.0,1,0.0,0,0,0,0
276,Tanmay Srivastava,2,1,1,0,0*,0.0,1,0.0,0,0,0,0
277,Chetanya Nanda,3,1,0,0,0*,0.0,1,0.0,0,0,0,0
278,Dale Steyn,3,2,1,0,0*,0.0,3,0.0,0,0,0,0
279,KP Appanna,5,1,1,0,0*,0.0,1,0.0,0,0,0,0
280,Luke Ronchi,1,1,0,0,0*,0.0,2,0.0,0,0,0,0
281,Lasith Malinga,13,3,1,0,0*,0.0,1,0.0,0,0,0,0
282,Sachin Tendulkar,15,15,2,618,89*,47.53,466,132.61,0,5,86,3
283,Jacques Kallis,16,16,4,572,89*,47.66,494,115.78,0,6,67,9
284,Suresh Raina,16,16,5,520,83*,47.27,364,142.85,0,4,45,22
285,Sourav Ganguly,14,14,1,493,88,37.92,419,117.66,0,4,58,15
286,Murali Vijay,15,15,2,458,127,35.23,292,156.84,1,2,36,26
287,Mahela Jayawardena,13,13,3,439,110*,43.9,298,147.31,1,1,55,11
288,Andrew Symonds,16,16,2,429,54,30.64,341,125.8,0,4,35,18
289,Saurabh Tiwary,16,15,1,419,61,29.92,309,135.59,0,3,29,18
290,Rohit Sharma,16,16,2,404,73,28.85,302,133.77,0,3,36,14
291,Naman Ojha,14,14,2,377,94*,31.41,285,132.28,0,2,42,15
292,Robin Uthappa,16,14,2,374,68*,31.16,218,171.55,0,3,21,27
293,Kumar Sangakkara,13,12,0,357,56,29.75,257,138.91,0,2,47,5
294,Ambati Rayudu,14,14,1,356,55*,27.38,246,144.71,0,2,34,13
295,Subramaniam Badrinath,16,15,4,356,55*,32.36,303,117.49,0,2,41,5
296,Virender Sehwag,14,14,0,356,75,25.42,218,163.3,0,3,47,14
297,Matthew Hayden,16,16,0,346,93,21.62,279,124.01,0,1,37,16
298,Yusuf Pathan,14,14,2,333,100,27.75,201,165.67,1,1,22,24
299,Tirumalasetti Suman,14,14,5,307,78*,34.11,257,119.45,0,2,23,12
300,Virat Kohli,16,13,2,307,58,27.9,212,144.81,0,1,26,12
301,Chris Gayle,9,9,0,292,88,32.44,184,158.69,0,2,30,16
302,Adam Gilchrist,16,16,0,289,54,18.06,185,156.21,0,1,31,16
303,MS Dhoni,13,11,2,287,66*,31.88,210,136.66,0,2,26,8
304,David Warner,11,11,1,282,107*,28.2,191,147.64,1,1,27,14
305,Michael Lumb,11,11,0,278,83,25.27,192,144.79,0,1,45,6
306,Dinesh Karthik,14,14,1,278,69,21.38,237,117.29,0,1,26,6
307,Gautam Gambhir,11,10,1,277,72,30.77,217,127.64,0,2,32,2
308,Irfan Pathan,14,13,5,276,60,34.5,186,148.38,0,1,21,10
309,Kieron Pollard,14,14,2,273,45*,22.75,147,185.71,0,0,23,17
310,Herschelle Gibbs,10,10,0,267,50,26.7,235,113.61,0,1,26,9
311,Rahul Dravid,16,11,2,256,52,28.44,199,128.64,0,1,34,3
312,Yuvraj Singh,14,14,2,255,43,21.25,199,128.14,0,0,20,14
313,Manish Pandey,13,13,1,249,42*,20.75,226,110.17,0,0,27,7
314,Ravi Bopara,10,9,1,248,77,31.0,214,115.88,0,2,25,3
315,Manoj Tiwary,13,11,2,237,75*,26.33,186,127.41,0,2,23,5
316,Kevin Pietersen,7,7,3,236,66*,59.0,157,150.31,0,2,23,8
317,Angelo Mathews,14,11,4,233,65*,33.28,184,126.63,0,1,18,8
318,Manvinder Bisla,10,10,0,218,75,21.8,178,122.47,0,1,27,6
319,Paul Collingwood,8,7,2,203,75*,40.6,156,130.12,0,3,9,13
320,Albie Morkel,14,11,3,198,62,24.75,131,151.14,0,1,10,13
321,Shikhar Dhawan,10,10,0,191,56,19.1,170,112.35,0,2,23,3
322,Shane Watson,6,5,0,185,60,37.0,114,162.28,0,2,18,9
323,Abhishek Jhunjhunwala,13,11,2,183,53*,20.33,166,110.24,0,1,16,4
324,Adam Voges,9,7,3,181,45*,45.25,143,126.57,0,0,15,3
325,Mohnish Mishra,11,11,0,166,41,15.09,144,115.27,0,0,18,6
326,Faiz Fazal,10,9,1,164,45,20.5,154,106.49,0,0,19,1
327,JP Duminy,7,7,2,157,42*,31.4,131,119.84,0,0,13,5
328,Mithun Manhas,9,8,4,157,32*,39.25,149,105.36,0,0,14,0
329,Shaun Marsh,4,4,1,147,88*,49.0,114,128.94,0,2,14,6
330,Cheteshwar Pujara,10,6,2,122,45*,30.5,115,106.08,0,0,14,3
331,Owais Shah,5,5,3,115,58*,57.5,95,121.05,0,1,7,5
332,Brendon McCullum,5,5,1,114,57*,28.5,110,103.63,0,1,14,2
333,Rajagopal Sathish,12,11,4,112,24,16.0,96,116.66,0,0,11,0
334,AB de Villiers,7,7,0,111,45,15.85,119,93.27,0,0,7,0
335,Paras Dogra,9,8,0,107,41,13.37,106,100.94,0,0,4,5
336,Harbhajan Singh,15,7,3,105,49*,26.25,63,166.66,0,0,12,5
337,Brad Hodge,4,4,0,99,50,24.75,90,110.0,0,1,11,1
338,David Hussey,6,6,2,94,31,23.5,86,109.3,0,0,5,5
339,Ross Taylor,7,7,3,88,31*,22.0,75,117.33,0,0,2,6
340,Kedar Jadhav,5,5,2,76,50*,25.33,56,135.71,0,1,7,2
341,Parthiv Patel,4,4,0,72,57,18.0,79,91.13,0,1,6,2
342,Wriddhiman Saha,13,7,4,67,22,22.33,53,126.41,0,0,9,1
343,Ryan McLaren,10,7,4,66,40,22.0,69,95.65,0,0,7,0
344,Andrew McDonald,4,3,3,65,33*,0.0,52,125.0,0,0,3,2
345,VVS Laxman,6,6,1,64,22,12.8,60,106.66,0,0,7,1
346,Anirudh Singh,5,4,0,63,40,15.75,66,95.45,0,0,6,1
347,Piyush Chawla,14,6,1,62,22,12.4,60,103.33,0,0,7,0
348,Dwayne Bravo,10,8,1,61,23,8.71,53,115.09,0,0,3,4
