,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
617,Sandeep Sharma,4,4,16.0,119,8,3/21,14.87,7.43,12.0,0,0
618,Darren Sammy,10,9,22.2,168,8,4/22,21.0,7.52,16.75,1,0
619,Dhawal Kulkarni,6,6,18.4,151,8,3/19,18.87,8.08,14.0,0,0
620,Albie Morkel,8,7,24.0,159,7,3/32,22.71,6.62,20.57,0,0
621,Iqbal Abdulla,5,5,18.5,142,7,3/29,20.28,7.53,16.14,0,0
622,Morne Morkel,10,10,40.0,335,7,2/27,47.85,8.37,34.28,0,0
623,Moises Henriques,10,8,21.1,185,7,2/14,26.42,8.74,18.14,0,0
624,Manpreet Gony,8,8,28.0,256,7,2/24,36.57,9.14,24.0,0,0
625,Mitchell Marsh,9,7,19.2,182,7,2/7,26.0,9.41,16.57,0,0
626,Ajit Chandila,8,8,25.0,156,6,2/6,26.0,6.24,25.0,0,0
627,Stuart Binny,17,14,24.0,162,6,2/14,27.0,6.75,24.0,0,0
628,Yuvraj Singh,13,10,22.0,152,6,2/27,25.33,6.9,22.0,0,0
629,Wayne Parnell,4,4,14.5,137,6,3/27,22.83,9.23,14.83,0,0
630,Johan Botha,6,6,16.4,109,5,2/11,21.8,6.54,20.0,0,0
631,Shanthakumaran Sreesanth,7,7,21.4,163,5,2/20,32.6,7.52,26.0,0,0
632,Harmeet Singh Bansal,3,3,11.2,87,5,3/24,17.4,7.67,13.6,0,0
633,Angelo Mathews,11,10,31.0,240,5,3/14,48.0,7.74,37.2,0,0
634,Zaheer Khan,2,2,6.0,47,5,4/17,9.4,7.83,7.2,1,0
635,Brett Lee,3,3,12.0,86,4,2/40,21.5,7.16,18.0,0,0
636,Siddarth Kaul,6,6,21.5,170,4,2/27,42.5,7.78,32.75,0,0
637,Dirk Nannes,5,5,19.5,158,4,2/17,39.5,7.96,29.75,0,0
638,Abu Nechim,2,2,7.0,45,3,2/27,15.0,6.42,14.0,0,0
639,Roelof van der Merwe,3,3,11.0,71,3,1/17,23.66,6.45,22.0,0,0
640,Muttiah Muralitharan,6,6,23.0,177,3,1/18,59.0,7.69,46.0,0,0
641,Syed Mohammad,4,4,10.0,91,3,2/15,30.33,9.1,20.0,0,0
642,Munaf Patel,4,4,15.0,137,3,3/29,45.66,9.13,30.0,0,0
643,Ali Murtaza,3,3,10.0,94,3,3/15,31.33,9.4,20.0,0,0
644,Rahul Shukla,3,3,8.0,79,3,2/28,26.33,9.87,16.0,0,0
645,Chris Gayle,16,4,4.0,40,3,2/5,13.33,10.0,8.0,0,0
646,Jasprit Bumrah,2,2,7.0,70,3,3/32,23.33,10.0,14.0,0,0
647,Ashish Reddy,12,5,6.4,70,3,1/7,23.33,10.5,13.33,0,0
648,Ryan McLaren,2,2,7.0,94,3,2/60,31.33,13.42,14.0,0,0
649,Anand Rajan,2,2,8.0,42,2,1/20,21.0,5.25,24.0,0,0
650,Vikramjeet Malik,3,3,10.0,59,2,2/14,29.5,5.9,30.0,0,0
651,Ajantha Mendis,3,3,12.0,78,2,1/15,39.0,6.5,36.0,0,0
652,Rishi Dhawan,6,5,15.0,109,2,1/6,54.5,7.26,45.0,0,0
653,Abhishek Nayar,11,3,8.0,59,2,1/15,29.5,7.37,24.0,0,0
654,Jason Holder,6,6,20.0,168,2,2/20,84.0,8.4,60.0,0,0
655,Kane Richardson,3,3,11.5,101,2,1/28,50.5,8.53,35.5,0,0
656,Luke Wright,6,5,9.5,100,2,1/12,50.0,10.16,29.5,0,0
657,Dwayne Smith,13,3,5.0,59,2,2/20,29.5,11.8,15.0,0,0
658,Adam Gilchrist,13,1,0.1,0,1,1/0,0.0,0.0,1.0,0,0
659,Bipul Sharma,1,1,4.0,21,1,1/21,21.0,5.25,24.0,0,0
660,Parveez Rasool,2,2,5.0,28,1,1/23,28.0,5.6,30.0,0,0
661,Ryan Harris,3,3,12.0,72,1,1/12,72.0,6.0,72.0,0,0
662,Hanuma Vihari,17,5,6.0,38,1,1/5,38.0,6.33,36.0,0,0
663,Bhargav Bhatt,2,2,5.0,32,1,1/11,32.0,6.4,30.0,0,0
664,Ankeet Chavan,3,3,9.0,63,1,1/28,63.0,7.0,54.0,0,0
665,Pawan Suyal,1,1,3.0,21,1,1/21,21.0,7.0,18.0,0,0
666,Jeevan Mendis,3,2,5.0,36,1,1/16,36.0,7.2,30.0,0,0
667,Nathan Coulter-Nile,1,1,4.0,29,1,1/29,29.0,7.25,24.0,0,0
668,Laxmi Ratan Shukla,4,2,3.0,22,1,1/14,22.0,7.33,18.0,0,0
669,Tirumalasetti Suman,7,1,2.0,15,1,1/15,15.0,7.5,12.0,0,0
670,Cameron White,13,2,2.0,16,1,1/14,16.0,8.0,12.0,0,0
671,Pravin Tambe,3,3,11.0,88,1,1/38,88.0,8.0,66.0,0,0
672,Yusuf Pathan,16,5,9.0,73,1,1/9,73.0,8.11,54.0,0,0
673,Harmeet Singh,1,1,4.0,34,1,1/34,34.0,8.5,24.0,0,0
674,Andrew McDonald,1,1,2.0,17,1,1/17,17.0,8.5,12.0,0,0
675,Marlon Samuels,2,1,4.0,34,1,1/34,34.0,8.5,24.0,0,0
676,Mohammad Shami,3,3,9.0,78,1,1/32,78.0,8.66,54.0,0,0
677,Ankit Rajpoot,2,2,4.0,35,1,1/25,35.0,8.75,24.0,0,0
678,Sarabjit Ladda,1,1,2.0,18,1,1/18,18.0,9.0,12.0,0,0
679,Abhimanyu Mithun,1,1,4.0,37,1,1/37,37.0,9.25,24.0,0,0
680,Shaun Tait,3,3,10.0,98,1,1/29,98.0,9.8,60.0,0,0
681,Ben Laughlin,2,2,7.0,71,1,1/25,71.0,10.14,42.0,0,0
682,Suresh Raina,18,2,2.0,23,1,1/4,23.0,11.5,12.0,0,0
683,Aaron Finch,14,3,4.0,49,1,1/11,49.0,12.25,24.0,0,0
684,Ishwar Pandey,2,2,4.0,50,1,1/17,50.0,12.5,24.0,0,0
685,Brad Hodge,17,1,1.0,3,0,0/3,0.0,3.0,0.0,0,0
686,Rohit Sharma,19,2,1.2,6,0,0/1,0.0,4.5,0.0,0,0
687,Raiphi Gomez,2,1,1.0,5,0,0/5,0.0,5.0,0.0,0,0
688,Jacob Oram,1,1,4.0,22,0,0/22,0.0,5.5,0.0,0,0
689,Dimitri Mascarenhas,1,1,4.0,25,0,0/25,0.0,6.25,0.0,0,0
690,Pawan Negi,1,1,4.0,28,0,0/28,0.0,7.0,0.0,0,0
691,Ryan ten Doeschate,4,3,3.0,24,0,0/3,0.0,8.0,0.0,0,0
692,David Hussey,12,4,11.0,91,0,0/14,0.0,8.27,0.0,0,0
693,Samuel Badree,1,1,4.0,34,0,0/34,0.0,8.5,0.0,0,0
694,Ankit Sharma,1,1,2.0,17,0,0/17,0.0,8.5,0.0,0,0
695,Yuzvendra Chahal,1,1,4.0,34,0,0/34,0.0,8.5,0.0,0,0
696,Sumit Narwal,2,1,2.0,17,0,0/17,0.0,8.5,0.0,0,0
697,Virender Sehwag,13,1,1.0,9,0,0/9,0.0,9.0,0.0,0,0
698,Dan Christian,2,2,6.0,55,0,0/13,0.0,9.16,0.0,0,0
699,Ajit Agarkar,4,4,10.0,92,0,0/4,0.0,9.2,0.0,0,0
700,Brad Hogg,1,1,3.2,31,0,0/31,0.0,9.3,0.0,0,0
701,Krishnakant Upadhyay,2,2,5.0,48,0,0/19,0.0,9.6,0.0,0,0
702,Andre Russell,3,3,7.0,68,0,0/13,0.0,9.71,0.0,0,0
703,Tillakaratne Dilshan,5,1,1.0,10,0,0/10,0.0,10.0,0.0,0,0
704,Glenn Maxwell,3,2,2.0,23,0,0/5,0.0,11.5,0.0,0,0
705,Ben Rohrer,8,1,1.0,12,0,0/12,0.0,12.0,0.0,0,0
706,Pradeep Sangwan,2,2,4.0,51,0,0/17,0.0,12.75,0.0,0,0
707,Rajagopal Sathish,9,3,4.0,51,0,0/10,0.0,12.75,0.0,0,0
708,Michael Neser,1,1,4.0,62,0,0/62,0.0,15.5,0.0,0,0
709,Mohit Sharma,16,16,53.5,452,23,4/14,19.65,8.39,14.04,1,0
710,Sunil Narine,16,16,64.0,407,21,4/20,19.38,6.35,18.28,2,0
711,Bhuvneshwar Kumar,14,14,53.1,354,20,4/14,17.7,6.65,15.95,1,0
712,Ravindra Jadeja,16,16,54.2,443,19,4/12,23.31,8.15,17.15,2,0
713,Sandeep Sharma,11,11,40.1,354,18,3/15,19.66,8.81,13.38,0,0
714,Axar Patel,17,17,66.0,405,17,3/24,23.82,6.13,23.29,0,0
715,Mitchell Johnson,14,14,53.3,444,17,2/19,26.11,8.29,18.88,0,0
716,Lasith Malinga,10,10,39.1,253,16,4/23,15.81,6.45,14.68,1,0
717,Ravichandran Ashwin,16,16,59.5,437,16,3/30,27.31,7.3,22.43,0,0
718,Varun Aaron,10,10,36.4,299,16,3/16,18.68,8.15,13.75,0,0
719,Pravin Tambe,13,13,49.0,356,15,4/20,23.73,7.26,19.6,1,0
720,Karn Sharma,14,14,50.4,376,15,4/38,25.06,7.42,20.26,1,0
721,Harbhajan Singh,14,14,55.0,356,14,2/13,25.42,6.47,23.57,0,0
722,Mitchell Starc,14,14,53.4,402,14,2/21,28.71,7.49,23.0,0,0
723,Piyush Chawla,11,11,39.3,303,14,3/19,21.64,7.67,16.92,0,0
724,Rishi Dhawan,13,13,47.2,365,13,2/14,28.07,7.71,21.84,0,0
725,Yuzvendra Chahal,14,14,55.0,386,12,2/17,32.16,7.01,27.5,0,0
726,Rajat Bhatia,12,12,38.0,283,12,3/23,23.58,7.44,19.0,0,0
727,Morne Morkel,12,12,48.0,367,12,2/20,30.58,7.64,24.0,0,0
728,Lakshmipathy Balaji,9,9,34.0,299,12,4/13,24.91,8.79,17.0,1,0
729,Shakib Al Hasan,13,13,50.0,334,11,2/22,30.36,6.68,27.27,0,0
730,Dale Steyn,14,14,56.0,431,11,2/20,39.18,7.69,30.54,0,0
731,Umesh Yadav,12,12,45.0,367,11,3/13,33.36,8.15,24.54,0,0
732,Karanveer Singh,5,5,20.0,164,11,4/54,14.9,8.2,10.9,1,0
733,James Faulkner,13,13,43.0,419,11,3/11,38.09,9.74,23.45,0,0
734,Kane Richardson,7,7,27.0,206,9,2/18,22.88,7.62,18.0,0,0
735,Imran Tahir,6,6,20.5,171,9,3/22,19.0,8.2,13.88,0,0
736,Jaydev Unadkat,9,9,31.1,270,9,3/32,30.0,8.66,20.77,0,0
737,Shahbaz Nadeem,11,11,38.0,311,8,2/35,38.87,8.18,28.5,0,0
738,Ben Hilfenhaus,8,8,28.0,246,8,2/32,30.75,8.78,21.0,0,0
739,Ashish Nehra,4,4,15.0,142,8,3/33,17.75,9.46,11.25,0,0
740,Shane Watson,13,9,21.0,165,7,3/13,23.57,7.85,18.0,0,0
741,Mohammad Shami,12,12,44.0,369,7,1/22,52.71,8.38,37.71,0,0
742,Vinay Kumar,9,9,32.0,281,7,2/26,40.14,8.78,27.42,0,0
743,Amit Mishra,10,10,37.3,340,7,2/23,48.57,9.06,32.14,0,0
744,Parvinder Awana,7,7,23.3,245,7,2/15,35.0,10.42,20.14,0,0
745,Wayne Parnell,8,8,30.1,223,6,2/21,37.16,7.39,30.16,0,0
746,Ishwar Pandey,13,12,42.0,318,6,2/23,53.0,7.57,42.0,0,0
747,Shreyas Gopal,4,4,14.0,113,6,2/25,18.83,8.07,14.0,0,0
748,Dhawal Kulkarni,8,8,27.0,221,6,2/23,36.83,8.18,27.0,0,0
749,Zaheer Khan,6,6,22.2,146,5,2/21,29.2,6.53,26.8,0,0
750,Jasprit Bumrah,11,11,39.4,301,5,2/22,60.2,7.58,47.6,0,0
751,Yuvraj Singh,14,10,22.4,187,5,4/35,37.4,8.25,27.2,1,0
752,Ashok Dinda,9,9,31.0,270,5,1/14,54.0,8.7,37.2,0,0
753,Ankit Sharma,3,2,8.0,43,4,2/20,10.75,5.37,12.0,0,0
754,Kevon Cooper,5,5,18.0,134,4,2/38,33.5,7.44,27.0,0,0
755,Albie Morkel,7,6,16.0,126,4,1/18,31.5,7.87,24.0,0,0
756,Jacques Kallis,8,8,22.0,186,4,1/15,46.5,8.45,33.0,0,0
757,Irfan Pathan,10,10,23.4,205,4,2/10,51.25,8.66,35.5,0,0
758,Dwayne Smith,16,5,10.0,95,4,1/11,23.75,9.5,15.0,0,0
759,Moises Henriques,4,4,10.0,96,4,2/26,24.0,9.6,15.0,0,0
760,Corey Anderson,12,9,18.0,184,4,2/18,46.0,10.22,27.0,0,0
761,Harshal Patel,3,3,11.0,113,4,2/56,28.25,10.27,16.5,0,0
762,Beuran Hendricks,3,3,12.0,126,4,3/36,31.5,10.5,18.0,0,0
763,Praveen Kumar,3,3,12.0,78,3,2/31,26.0,6.5,24.0,0,0
764,Stuart Binny,13,8,9.0,64,3,1/1,21.33,7.11,18.0,0,0
765,JP Duminy,14,11,33.0,240,3,2/27,80.0,7.27,66.0,0,0
766,Shivam Sharma,4,4,16.0,121,3,2/26,40.33,7.56,32.0,0,0
767,Muttiah Muralitharan,5,5,16.0,124,3,2/25,41.33,7.75,32.0,0,0
768,Abu Nechim,4,4,14.2,113,3,1/18,37.66,7.88,28.66,0,0
769,Ishant Sharma,3,3,11.0,101,3,2/37,33.66,9.18,22.0,0,0
770,Darren Sammy,10,8,14.0,157,3,1/20,52.33,11.21,28.0,0,0
771,Krishmar Santokie,2,2,8.0,90,3,2/50,30.0,11.25,16.0,0,0
772,Rahul Tewatia,3,3,9.0,59,2,1/17,29.5,6.55,27.0,0,0
773,Nathan Coulter-Nile,2,1,4.0,27,2,2/27,13.5,6.75,12.0,0,0
774,Samuel Badree,4,4,14.0,97,2,1/19,48.5,6.92,42.0,0,0
775,Marchant de Lange,1,1,4.0,32,2,2/32,16.0,8.0,12.0,0,0
776,Siddarth Kaul,5,5,13.0,126,2,1/5,63.0,9.69,39.0,0,0
777,Kieron Pollard,15,12,25.0,262,2,1/33,131.0,10.48,75.0,0,0
778,Rahul Shukla,3,3,9.0,98,2,1/13,49.0,10.88,27.0,0,0
779,David Hussey,5,1,2.5,38,2,2/38,19.0,13.41,8.5,0,0
780,Ravi Rampaul,2,2,6.0,37,1,1/21,37.0,6.16,36.0,0,0
781,Ryan ten Doeschate,10,4,5.0,35,1,1/7,35.0,7.0,30.0,0,0
782,Pat Cummins,1,1,4.0,29,1,1/29,29.0,7.25,24.0,0,0
783,Suresh Raina,16,8,18.0,134,1,1/17,134.0,7.44,108.0,0,0
784,Ben Cutting,1,1,4.0,31,1,1/31,31.0,7.75,24.0,0,0
785,Rohit Sharma,15,2,3.0,26,1,1/20,26.0,8.66,18.0,0,0
786,Laxmi Ratan Shukla,6,5,9.2,83,1,1/31,83.0,8.89,56.0,0,0
787,Parveez Rasool,3,3,9.0,83,1,1/26,83.0,9.22,54.0,0,0
788,John Hastings,1,1,3.0,29,1,1/29,29.0,9.66,18.0,0,0
789,Vikramjeet Malik,1,1,3.0,29,1,1/29,29.0,9.66,18.0,0,0
790,Jimmy Neesham,4,4,9.0,91,1,1/29,91.0,10.11,54.0,0,0
791,Andre Russell,2,2,5.0,52,1,1/25,52.0,10.4,30.0,0,0
792,Rahul Sharma,2,2,6.0,65,1,1/33,65.0,10.83,36.0,0,0
793,Lendl Simmons,8,1,3.0,34,1,1/34,34.0,11.33,18.0,0,0
794,Murali Kartik,2,2,8.0,91,1,1/51,91.0,11.37,48.0,0,0
795,Pawan Suyal,1,1,3.0,35,1,1/35,35.0,11.66,18.0,0,0
796,Jason Holder,1,1,3.0,35,1,1/35,35.0,11.66,18.0,0,0
797,Glenn Maxwell,16,7,11.0,132,1,1/21,132.0,12.0,66.0,0,0
798,Tim Southee,3,3,10.0,76,0,0/16,0.0,7.6,0.0,0,0
799,Suryakumar Yadav,16,1,1.0,8,0,0/8,0.0,8.0,0.0,0,0
800,Sachin Rana,9,2,2.0,16,0,0/7,0.0,8.0,0.0,0,0
801,Venugopal Rao,7,2,2.0,16,0,0/7,0.0,8.0,0.0,0,0
802,Iqbal Abdulla,1,1,2.0,17,0,0/17,0.0,8.5,0.0,0,0
803,Yusuf Pathan,15,1,1.0,10,0,0/10,0.0,10.0,0.0,0,0
804,Pawan Negi,2,2,7.0,75,0,0/37,0.0,10.71,0.0,0,0
805,Shadab Jakati,1,1,3.4,41,0,0/41,0.0,11.18,0.0,0,0
806,Murali Vijay,11,1,1.0,13,0,0/13,0.0,13.0,0.0,0,0
807,Manoj Tiwary,8,1,2.0,28,0,0/28,0.0,14.0,0.0,0,0
808,Vijay Shankar,1,1,1.0,19,0,0/19,0.0,19.0,0.0,0,0
809,Dwayne Bravo,17,16,52.2,426,26,3/22,16.38,8.14,12.07,0,0
810,Lasith Malinga,15,15,60.0,444,24,4/23,18.5,7.4,15.0,1,0
811,Yuzvendra Chahal,15,14,46.5,415,23,3/40,18.04,8.86,12.21,0,0
812,Ashish Nehra,16,16,62.0,449,22,4/10,20.4,7.24,16.9,1,0
813,Mitchell Starc,13,12,43.0,291,20,4/15,14.55,6.76,12.9,1,0
814,Harbhajan Singh,15,15,57.0,446,18,3/27,24.77,7.82,19.0,0,0
815,Bhuvneshwar Kumar,14,14,51.4,407,18,3/26,22.61,7.87,17.22,0,0
816,Mitchell McClenaghan,12,12,47.0,386,18,3/16,21.44,8.21,15.66,0,0
817,Harshal Patel,15,14,43.5,328,17,2/12,19.29,7.48,15.47,0,0
818,David Wiese,14,13,42.2,353,16,4/33,22.06,8.33,15.87,1,0
819,Nathan Coulter-Nile,11,11,42.3,321,15,4/20,21.4,7.55,17.0,1,0
820,Imran Tahir,10,10,35.3,314,15,4/28,20.93,8.84,14.2,1,0
821,Anureet Singh,14,14,51.4,465,15,3/23,31.0,9.0,20.66,0,0
822,Andre Russell,13,13,40.4,324,14,3/32,23.14,7.96,17.42,0,0
823,Mohit Sharma,16,16,57.0,481,14,3/25,34.35,8.43,24.42,0,0
824,Sandeep Sharma,14,14,50.0,350,13,4/25,26.92,7.0,23.07,1,0
825,Chris Morris,11,11,42.0,311,13,4/23,23.92,7.4,19.38,1,0
826,Dhawal Kulkarni,11,11,35.0,277,13,2/9,21.3,7.91,16.15,0,0
827,Axar Patel,14,14,46.4,392,13,2/11,30.15,8.4,21.53,0,0
828,Moises Henriques,9,9,25.0,158,11,3/16,14.36,6.32,13.63,0,0
829,Ishwar Pandey,10,10,31.0,223,11,2/27,20.27,7.19,16.9,0,0
830,Piyush Chawla,13,13,35.0,269,11,4/32,24.45,7.68,19.09,1,0
831,Ravindra Jadeja,17,15,42.4,330,11,4/11,30.0,7.73,23.27,1,0
832,Ravichandran Ashwin,14,13,39.0,228,10,2/5,22.8,5.84,23.4,0,0
833,Morne Morkel,7,7,28.0,206,10,2/18,20.6,7.35,16.8,0,0
834,Karn Sharma,14,14,39.5,332,10,2/12,33.2,8.33,23.9,0,0
835,Jagadeesha Suchith,13,12,39.0,337,10,2/14,33.7,8.64,23.4,0,0
836,Umesh Yadav,12,12,42.0,382,10,3/33,38.2,9.09,25.2,0,0
837,Brad Hogg,6,6,21.0,144,9,4/29,16.0,6.85,14.0,1,0
838,Amit Mishra,12,12,40.1,310,9,2/32,34.44,7.71,26.77,0,0
839,Trent Boult,7,7,28.0,236,9,3/19,26.22,8.42,18.66,0,0
840,Mitchell Johnson,9,9,35.5,336,9,2/23,37.33,9.37,23.88,0,0
841,Sreenath Aravind,5,5,18.0,132,8,4/27,16.5,7.33,13.5,1,0
842,JP Duminy,14,9,17.0,126,8,4/17,15.75,7.41,12.75,1,0
843,James Faulkner,13,13,45.0,426,8,3/26,53.25,9.46,33.75,0,0
844,Zaheer Khan,7,7,24.1,156,7,2/9,22.28,6.45,20.71,0,0
845,Sunil Narine,8,8,32.0,234,7,4/19,33.42,7.31,27.42,1,0
846,Pravin Tambe,10,10,34.0,266,7,2/21,38.0,7.82,29.14,0,0
847,Angelo Mathews,11,10,30.0,246,7,2/15,35.14,8.2,25.71,0,0
848,Vinay Kumar,13,13,43.3,368,7,2/26,52.57,8.45,37.28,0,0
849,Praveen Kumar,12,12,36.0,329,7,2/35,47.0,9.13,30.85,0,0
850,Ravi Bopara,9,7,20.0,160,6,2/18,26.66,8.0,20.0,0,0
851,Pawan Negi,10,10,30.0,252,6,2/25,42.0,8.4,30.0,0,0
852,Tim Southee,7,7,28.0,247,6,2/32,41.16,8.82,28.0,0,0
853,Shane Watson,10,10,29.0,269,6,2/36,44.83,9.27,29.0,0,0
854,Beuran Hendricks,4,4,13.0,109,5,2/40,21.8,8.38,15.6,0,0
855,Domnic Joseph,6,6,14.0,101,4,2/18,25.25,7.21,21.0,0,0
856,Stuart Binny,13,10,19.0,140,4,2/27,35.0,7.36,28.5,0,0
857,Iqbal Abdulla,5,5,19.0,150,4,2/36,37.5,7.89,28.5,0,0
858,Shakib Al Hasan,4,4,14.0,123,4,2/22,30.75,8.78,21.0,0,0
859,Bipul Sharma,4,3,7.0,50,3,2/13,16.66,7.14,14.0,0,0
860,Gurkeerat Mann Singh,5,3,9.0,66,3,2/17,22.0,7.33,18.0,0,0
861,Ankit Sharma,4,4,14.0,114,3,1/26,38.0,8.14,28.0,0,0
862,Ashish Reddy,6,4,6.0,50,3,1/11,16.66,8.33,12.0,0,0
863,Dale Steyn,6,6,19.0,170,3,2/38,56.66,8.94,38.0,0,0
864,Albie Morkel,4,4,12.0,109,3,2/21,36.33,9.08,24.0,0,0
865,Kieron Pollard,16,8,12.4,120,3,1/6,40.0,9.47,25.33,0,0
866,Varun Aaron,6,5,17.2,177,3,2/24,59.0,10.21,34.66,0,0
867,Jasprit Bumrah,4,4,15.0,184,3,1/38,61.33,12.26,30.0,0,0
868,Jayant Yadav,3,3,7.0,29,2,1/8,14.5,4.14,21.0,0,0
869,Suresh Raina,17,5,12.0,93,2,1/29,46.5,7.75,36.0,0,0
870,Glenn Maxwell,11,7,10.0,97,2,1/5,48.5,9.7,30.0,0,0
871,Yusuf Pathan,13,5,10.0,97,2,2/40,48.5,9.7,30.0,0,0
872,Parveez Rasool,2,2,5.0,31,1,1/20,31.0,6.2,30.0,0,0
873,Yuvraj Singh,14,6,9.0,72,1,1/14,72.0,8.0,54.0,0,0
874,Johan Botha,4,4,10.0,81,1,1/32,81.0,8.1,60.0,0,0
875,Corey Anderson,4,2,4.0,33,1,1/21,33.0,8.25,24.0,0,0
876,Dwayne Smith,16,1,2.0,17,1,1/17,17.0,8.5,12.0,0,0
877,Deepak Hooda,14,7,15.1,129,1,1/35,129.0,8.5,91.0,0,0
878,Thisara Perera,2,2,6.0,55,1,1/33,55.0,9.16,36.0,0,0
879,Rishi Dhawan,5,5,12.0,110,1,1/12,110.0,9.16,72.0,0,0
880,Pat Cummins,3,3,10.0,97,1,1/54,97.0,9.7,60.0,0,0
881,Juan Theron,1,1,4.0,40,1,1/40,40.0,10.0,24.0,0,0
882,Ronit More,2,2,5.5,59,1,1/31,59.0,10.11,35.0,0,0
883,Gurinder Sandhu,3,2,8.0,82,1,1/33,82.0,10.25,48.0,0,0
884,Rahul Tewatia,1,1,3.0,31,1,1/31,31.0,10.33,18.0,0,0
885,Hardik Pandya,9,8,17.0,176,1,1/13,176.0,10.35,102.0,0,0
886,Shreyas Gopal,1,1,2.1,23,1,1/23,23.0,10.61,13.0,0,0
887,Abu Nechim,3,3,12.0,128,1,1/28,128.0,10.66,72.0,0,0
888,Karanveer Singh,4,4,14.0,157,1,1/30,157.0,11.21,84.0,0,0
889,Ishant Sharma,4,4,14.0,159,1,1/25,159.0,11.35,84.0,0,0
890,Shardul Thakur,1,1,3.0,38,1,1/38,38.0,12.66,18.0,0,0
891,KC Cariappa,1,1,2.0,28,1,1/28,28.0,14.0,12.0,0,0
892,Shivam Sharma,1,1,3.0,44,1,1/44,44.0,14.66,18.0,0,0
893,Ryan ten Doeschate,6,1,1.0,4,0,0/4,0.0,4.0,0.0,0,0
894,Virat Kohli,16,2,1.5,10,0,0/4,0.0,5.45,0.0,0,0
895,Shahbaz Nadeem,4,2,7.0,43,0,0/18,0.0,6.14,0.0,0,0
896,Murali Vijay,11,2,4.0,28,0,0/12,0.0,7.0,0.0,0,0
897,Chris Gayle,14,1,2.0,15,0,0/15,0.0,7.5,0.0,0,0
898,Marchant de Lange,1,1,4.0,30,0,0/30,0.0,7.5,0.0,0,0
899,Darren Sammy,2,2,3.0,25,0,0/7,0.0,8.33,0.0,0,0
900,Rajat Bhatia,2,2,5.0,46,0,0/23,0.0,9.2,0.0,0,0
901,Pawan Suyal,3,3,10.0,95,0,0/22,0.0,9.5,0.0,0,0
902,Jaydev Unadkat,1,1,3.0,30,0,0/30,0.0,10.0,0.0,0,0
903,Sean Abbott,2,2,5.0,57,0,0/21,0.0,11.4,0.0,0,0
904,Pragyan Ojha,1,1,2.0,23,0,0/23,0.0,11.5,0.0,0,0
905,Barinder Sran,1,1,3.0,35,0,0/35,0.0,11.66,0.0,0,0
906,Ashok Dinda,2,2,5.0,62,0,0/23,0.0,12.4,0.0,0,0
907,Azhar Mahmood,1,1,3.0,41,0,0/41,0.0,13.66,0.0,0,0
908,Bhuvneshwar Kumar,17,17,66.0,490,23,4/29,21.3,7.42,17.21,1,0
909,Yuzvendra Chahal,13,13,49.1,401,21,4/25,19.09,8.15,14.04,1,0
910,Shane Watson,16,16,56.3,485,20,4/29,24.25,8.58,16.95,1,0
911,Dhawal Kulkarni,14,14,49.0,364,18,4/14,20.22,7.42,16.33,1,0
912,Mustafizur Rahman,16,16,61.0,421,17,3/16,24.76,6.9,21.52,0,0
913,Mitchell McClenaghan,14,14,53.2,436,17,4/21,25.64,8.17,18.82,1,0
914,Dwayne Bravo,15,15,56.0,494,17,4/22,29.05,8.82,19.76,1,0
915,Sandeep Sharma,14,14,50.0,366,15,2/11,24.4,7.32,20.0,0,0
916,Jasprit Bumrah,14,14,52.0,406,15,3/13,27.06,7.8,20.8,0,0
917,Andre Russell,12,12,36.3,291,15,4/20,19.4,7.97,14.6,1,0
918,Barinder Sran,14,14,49.3,413,14,3/28,29.5,8.34,21.21,0,0
919,Chris Morris,12,12,44.0,308,13,2/30,23.69,7.0,20.3,0,0
920,Amit Mishra,14,14,46.0,344,13,4/11,26.46,7.47,21.23,1,0
921,Axar Patel,14,14,47.5,388,13,4/21,29.84,8.11,22.07,1,0
922,Mohit Sharma,14,14,48.3,407,13,3/23,31.3,8.39,22.38,0,0
923,Adam Zampa,5,5,17.0,115,12,6/19,9.58,6.76,8.5,0,1
924,Moises Henriques,17,17,52.0,415,12,2/17,34.58,7.98,26.0,0,0
925,Sunil Narine,11,11,42.5,304,11,3/26,27.63,7.09,23.36,0,0
926,Sreenath Aravind,9,9,29.1,216,11,2/18,19.63,7.4,15.9,0,0
927,Ashok Dinda,9,9,30.3,231,11,3/20,21.0,7.57,16.63,0,0
928,Piyush Chawla,12,11,35.2,273,11,2/21,24.81,7.72,19.27,0,0
929,Chris Jordan,9,9,28.0,258,11,4/11,23.45,9.21,15.27,1,0
930,Ravichandran Ashwin,14,14,44.0,319,10,4/34,31.9,7.25,26.4,1,0
931,Zaheer Khan,12,12,43.4,337,10,3/21,33.7,7.71,26.2,0,0
932,Morne Morkel,10,10,35.3,297,10,2/27,29.7,8.36,21.3,0,0
933,Umesh Yadav,9,9,26.0,234,10,3/28,23.4,9.0,15.6,0,0
934,Tim Southee,11,11,43.0,329,9,3/24,36.55,7.65,28.66,0,0
935,Ashish Nehra,8,8,26.0,199,9,3/15,22.11,7.65,17.33,0,0
936,Praveen Kumar,16,16,51.3,401,9,2/19,44.55,7.78,34.33,0,0
937,Harbhajan Singh,14,14,49.0,392,9,2/29,43.55,8.0,32.66,0,0
938,Thisara Perera,12,11,33.1,326,9,3/34,36.22,9.82,22.11,0,0
