,player,runs,boundaries,balls_faced,wickets,balls_bowled,runs_conceded,matches,batting_avg,batting_strike_rate,boundaries_percent,bowling_economy,bowling_avg,bowling_strike_rate,catches,stumpings
45,AM Nayar,672,75,588,9.0,239.0,323.0,51,13.18,114.29,12.76,8.11,35.89,26.56,13.0,0.0
46,AM Rahane,4074,511,3465,1.0,6.0,5.0,148,27.53,117.58,14.75,5.0,5.0,6.0,63.0,0.0
47,AN Ahmed,36,5,27,12.0,362.0,515.0,17,2.12,133.33,18.52,8.54,42.92,30.17,2.0,0.0
48,AN Ghosh,7,1,8,0.0,0.0,0.0,2,3.5,87.5,12.5,0.0,0.0,0.0,1.0,0.0
49,AP Dole,34,4,23,5.0,73.0,114.0,3,11.33,147.83,17.39,9.37,22.8,14.6,2.0,0.0
50,AP Majumdar,87,9,77,0.0,0.0,0.0,4,21.75,112.99,11.69,0.0,0.0,0.0,0.0,0.0
51,AP Tare,339,51,285,0.0,0.0,0.0,27,12.56,118.95,17.89,0.0,0.0,0.0,3.0,6.0
52,AR Bawne,12,1,12,0.0,0.0,0.0,1,12.0,100.0,8.33,0.0,0.0,0.0,0.0,0.0
53,AR Patel,1135,121,919,101.0,2599.0,3140.0,122,9.3,123.5,13.17,7.25,31.09,25.73,51.0,0.0
54,AS Joseph,20,2,20,13.0,240.0,358.0,12,1.67,100.0,10.0,8.95,27.54,18.46,1.0,0.0
55,AS Rajpoot,26,3,41,24.0,567.0,844.0,29,0.9,63.41,7.32,8.93,35.17,23.62,3.0,0.0
56,AS Raut,194,20,172,0.0,30.0,45.0,17,11.41,112.79,11.63,9.0,450000.0,300000.0,10.0,0.0
57,AS Roy,0,0,2,2.0,57.0,66.0,3,0.0,0.0,0.0,6.95,33.0,28.5,5.0,0.0
58,AS Yadav,49,7,40,0.0,0.0,0.0,6,8.17,122.5,17.5,0.0,0.0,0.0,1.0,0.0
59,AT Carey,32,1,29,0.0,0.0,0.0,3,10.67,110.34,3.45,0.0,0.0,0.0,2.0,0.0
60,AT Rayudu,4190,513,3375,0.0,0.0,0.0,173,24.22,124.15,15.2,0.0,0.0,0.0,62.0,2.0
61,AUK Pathan,39,7,26,0.0,41.0,63.0,7,5.57,150.0,26.92,9.22,630000.0,410000.0,2.0,0.0
62,Abdul Samad,228,26,164,2.0,55.0,113.0,19,12.0,139.02,15.85,12.33,56.5,27.5,14.0,0.0
63,Abdur Razzak,0,0,2,0.0,14.0,29.0,1,0.0,0.0,0.0,12.43,290000.0,140000.0,0.0,0.0
64,Abhishek Sharma,667,89,511,7.0,161.0,218.0,36,18.53,130.53,17.42,8.12,31.14,23.0,6.0,0.0
65,Akash Deep,0,0,2,5.0,119.0,206.0,5,0.0,0.0,0.0,10.39,41.2,23.8,1.0,0.0
66,Aman Hakim Khan,5,1,3,0.0,6.0,13.0,1,5.0,166.67,33.33,13.0,130000.0,60000.0,0.0,0.0
67,Anirudh Singh,63,7,69,0.0,0.0,0.0,4,15.75,91.3,10.14,0.0,0.0,0.0,3.0,0.0
68,Ankit Sharma,87,11,69,12.0,375.0,453.0,21,4.14,126.09,15.94,7.25,37.75,31.25,4.0,0.0
69,Ankit Soni,7,1,9,2.0,112.0,145.0,6,1.17,77.78,11.11,7.77,72.5,56.0,1.0,0.0
70,Anmolpreet Singh,29,4,27,0.0,0.0,0.0,3,9.67,107.41,14.81,0.0,0.0,0.0,1.0,0.0
71,Anuj Rawat,129,17,124,0.0,0.0,0.0,9,14.33,104.03,13.71,0.0,0.0,0.0,10.0,0.0
72,Anureet Singh,36,3,47,18.0,430.0,636.0,22,1.64,76.6,6.38,8.87,35.33,23.89,5.0,0.0
73,Arshdeep Singh,23,3,36,40.0,803.0,1086.0,37,0.62,63.89,8.33,8.11,27.15,20.07,6.0,0.0
74,Avesh Khan,31,5,19,47.0,868.0,1190.0,38,0.82,163.16,26.32,8.23,25.32,18.47,6.0,0.0
75,Azhar Mahmood,388,52,311,29.0,552.0,707.0,23,16.87,124.76,16.72,7.68,24.38,19.03,7.0,0.0
76,B Akhil,76,10,57,6.0,193.0,246.0,15,5.07,133.33,17.54,7.65,41.0,32.17,3.0,0.0
77,B Chipli,280,35,256,0.0,6.0,20.0,21,13.33,109.38,13.67,20.0,200000.0,60000.0,4.0,0.0
78,B Indrajith,21,2,31,0.0,0.0,0.0,3,7.0,67.74,6.45,0.0,0.0,0.0,1.0,0.0
79,B Kumar,241,26,259,154.0,3384.0,4064.0,146,1.65,93.05,10.04,7.21,26.39,21.97,24.0,0.0
80,B Laughlin,5,0,13,10.0,179.0,284.0,9,0.56,38.46,0.0,9.52,28.4,17.9,1.0,0.0
81,B Lee,124,16,102,25.0,916.0,1126.0,38,3.26,121.57,15.69,7.38,45.04,36.64,8.0,0.0
82,B Sai Sudharsan,145,17,118,0.0,0.0,0.0,5,29.0,122.88,14.41,0.0,0.0,0.0,1.0,0.0
83,B Stanlake,5,1,2,7.0,150.0,200.0,6,0.83,250.0,50.0,8.0,28.57,21.43,1.0,0.0
84,B Sumanth,35,3,38,0.0,0.0,0.0,4,8.75,92.11,7.89,0.0,0.0,0.0,4.0,0.0
85,BA Bhatt,6,1,7,12.0,303.0,408.0,15,0.4,85.71,14.29,8.08,34.0,25.25,0.0,0.0
86,BA Stokes,920,111,703,28.0,717.0,1005.0,43,21.4,130.87,15.79,8.41,35.89,25.61,21.0,0.0
87,BAW Mendis,3,0,6,8.0,248.0,306.0,10,0.3,50.0,0.0,7.4,38.25,31.0,1.0,0.0
88,BB McCullum,2882,423,2272,0.0,0.0,0.0,109,26.44,126.85,18.62,0.0,0.0,0.0,38.0,6.0
89,BB Samantray,125,15,116,0.0,0.0,0.0,8,15.62,107.76,12.93,0.0,0.0,0.0,3.0,0.0
90,BB Sran,10,0,14,18.0,516.0,767.0,24,0.42,71.43,0.0,8.92,42.61,28.67,4.0,0.0
91,BCJ Cutting,238,34,146,10.0,288.0,430.0,21,11.33,163.01,23.29,8.96,43.0,28.8,10.0,0.0
92,BE Hendricks,1,0,3,9.0,157.0,239.0,7,0.14,33.33,0.0,9.13,26.56,17.44,3.0,0.0
93,BJ Haddin,18,3,11,0.0,0.0,0.0,1,18.0,163.64,27.27,0.0,0.0,0.0,0.0,0.0
94,BJ Hodge,1400,165,1153,17.0,238.0,310.0,63,22.22,121.42,14.31,7.82,18.24,14.0,22.0,0.0
95,BJ Rohrer,193,26,146,0.0,7.0,12.0,8,24.12,132.19,17.81,10.29,120000.0,70000.0,3.0,0.0
96,BMAJ Mendis,23,0,27,1.0,30.0,36.0,3,7.67,85.19,0.0,7.2,36.0,30.0,2.0,0.0
97,BR Dunk,40,7,36,0.0,0.0,0.0,3,13.33,111.11,19.44,0.0,0.0,0.0,4.0,0.0
98,Basil Thampi,32,2,37,22.0,539.0,862.0,25,1.28,86.49,5.41,9.6,39.18,24.5,4.0,0.0
99,Bipul Sharma,187,20,124,17.0,436.0,581.0,29,6.45,150.81,16.13,8.0,34.18,25.65,7.0,0.0
100,C Madan,15,3,21,0.0,0.0,0.0,1,15.0,71.43,14.29,0.0,0.0,0.0,0.0,0.0
101,C Munro,177,27,144,0.0,12.0,15.0,12,14.75,122.92,18.75,7.5,150000.0,120000.0,4.0,0.0
102,C Nanda,0,0,1,2.0,50.0,58.0,3,0.0,0.0,0.0,6.96,29.0,25.0,0.0,0.0
103,C Sakariya,16,2,25,17.0,405.0,521.0,17,0.94,64.0,8.0,7.72,30.65,23.82,6.0,0.0
104,C de Grandhomme,303,36,229,6.0,230.0,323.0,25,12.12,132.31,15.72,8.43,53.83,38.33,6.0,0.0
105,CA Ingram,205,27,183,0.0,0.0,0.0,15,13.67,112.02,14.75,0.0,0.0,0.0,1.0,0.0
106,CA Lynn,1329,198,974,0.0,0.0,0.0,42,31.64,136.45,20.33,0.0,0.0,0.0,12.0,0.0
107,CA Pujara,390,54,403,0.0,0.0,0.0,22,17.73,96.77,13.4,0.0,0.0,0.0,6.0,0.0
108,CH Gayle,4997,767,3516,18.0,584.0,755.0,141,35.44,142.12,21.81,7.76,41.94,32.44,30.0,0.0
109,CH Morris,618,76,413,96.0,1801.0,2377.0,81,7.63,149.64,18.4,7.92,24.76,18.76,36.0,0.0
110,CJ Anderson,538,71,436,11.0,315.0,525.0,30,17.93,123.39,16.28,10.0,47.73,28.64,11.0,0.0
111,CJ Ferguson,98,9,119,0.0,0.0,0.0,8,12.25,82.35,7.56,0.0,0.0,0.0,2.0,0.0
112,CJ Jordan,75,6,68,27.0,577.0,870.0,28,2.68,110.29,8.82,9.05,32.22,21.37,13.0,0.0
113,CJ McKay,8,0,15,1.0,42.0,60.0,2,4.0,53.33,0.0,8.57,59.99,42.0,0.0,0.0
114,CK Kapugedera,16,0,24,0.0,17.0,49.0,4,4.0,66.67,0.0,17.29,490000.0,170000.0,4.0,0.0
115,CK Langeveldt,8,1,9,13.0,165.0,199.0,7,1.14,88.89,11.11,7.24,15.31,12.69,0.0,0.0
116,CL White,971,114,774,1.0,46.0,86.0,45,21.58,125.45,14.73,11.22,85.99,46.0,22.0,0.0
117,CM Gautam,169,23,158,0.0,0.0,0.0,13,13.0,106.96,14.56,0.0,0.0,0.0,3.0,4.0
118,CR Brathwaite,181,26,120,13.0,266.0,384.0,16,11.31,150.83,21.67,8.66,29.54,20.46,6.0,0.0
119,CR Woakes,78,9,77,30.0,463.0,674.0,21,3.71,101.3,11.69,8.73,22.47,15.43,6.0,0.0
120,CRD Fernando,4,0,3,17.0,249.0,306.0,10,0.4,133.33,0.0,7.37,18.0,14.65,2.0,0.0
121,CV Varun,24,2,38,42.0,992.0,1186.0,42,0.57,63.16,5.26,7.17,28.24,23.62,5.0,0.0
122,D Brevis,161,25,116,1.0,3.0,8.0,7,23.0,138.79,21.55,16.0,8.0,3.0,3.0,0.0
123,D Kalyankrishna,3,0,8,2.0,50.0,88.0,3,1.0,37.5,0.0,10.56,44.0,25.0,1.0,0.0
124,D Padikkal,1260,172,1057,0.0,0.0,0.0,46,27.39,119.21,16.27,0.0,0.0,0.0,20.0,0.0
125,D Pretorius,44,6,28,6.0,138.0,213.0,6,7.33,157.14,21.43,9.26,35.5,23.0,2.0,0.0
126,D Salunkhe,33,5,24,1.0,51.0,80.0,5,6.6,137.5,20.83,9.41,79.99,50.99,2.0,0.0
127,D Wiese,127,16,94,16.0,289.0,409.0,15,8.47,135.11,17.02,8.49,25.56,18.06,5.0,0.0
128,D du Preez,10,0,13,4.0,43.0,56.0,2,5.0,76.92,0.0,7.81,14.0,10.75,0.0,0.0
129,DA Miller,2455,282,1838,0.0,0.0,0.0,101,24.31,133.57,15.34,0.0,0.0,0.0,64.0,0.0
130,DA Warner,5883,793,4313,0.0,2.0,2.0,162,36.31,136.4,18.39,6.0,20000.0,20000.0,76.0,0.0
131,DAJ Bracewell,12,1,9,3.0,25.0,32.0,1,12.0,133.33,11.11,7.68,10.67,8.33,1.0,0.0
132,DB Das,304,39,267,0.0,0.0,0.0,22,13.82,113.86,14.61,0.0,0.0,0.0,7.0,0.0
133,DB Ravi Teja,375,44,325,1.0,18.0,28.0,25,15.0,115.38,13.54,9.33,28.0,18.0,11.0,0.0
134,DE Bollinger,21,2,23,37.0,600.0,716.0,27,0.78,91.3,8.7,7.16,19.35,16.22,6.0,0.0
135,DH Yagnik,170,25,142,0.0,0.0,0.0,17,10.0,119.72,17.61,0.0,0.0,0.0,12.0,5.0
136,DJ Bravo,1560,186,1247,183.0,3296.0,4436.0,160,9.75,125.1,14.92,8.08,24.24,18.01,69.0,0.0
137,DJ Harris,111,16,103,0.0,18.0,26.0,4,27.75,107.77,15.53,8.67,260000.0,180000.0,5.0,0.0
138,DJ Hooda,1237,133,970,10.0,359.0,505.0,80,15.46,127.53,13.71,8.44,50.5,35.9,42.0,0.0
139,DJ Hussey,1322,150,1101,8.0,323.0,485.0,61,21.67,120.07,13.62,9.01,60.62,40.37,25.0,0.0
140,DJ Jacobs,92,14,101,0.0,0.0,0.0,7,13.14,91.09,13.86,0.0,0.0,0.0,3.0,2.0
141,DJ Malan,26,2,26,0.0,0.0,0.0,1,26.0,100.0,7.69,0.0,0.0,0.0,1.0,0.0
142,DJ Mitchell,33,1,46,0.0,13.0,27.0,2,16.5,71.74,2.17,12.46,270000.0,130000.0,2.0,0.0
143,DJ Muthuswami,1,0,3,4.0,84.0,108.0,6,0.17,33.33,0.0,7.71,27.0,21.0,0.0,0.0
144,DJ Thornely,39,4,54,3.0,44.0,40.0,5,7.8,72.22,7.41,5.45,13.33,14.67,2.0,0.0
145,DJ Willey,18,3,32,3.0,127.0,171.0,7,2.57,56.25,9.38,8.08,57.0,42.33,3.0,0.0
146,DJG Sammy,295,33,251,11.0,244.0,354.0,22,13.41,117.53,13.15,8.7,32.18,22.18,9.0,0.0
147,DJM Short,115,16,102,1.0,18.0,23.0,7,16.43,112.75,15.69,7.67,23.0,18.0,2.0,0.0
148,DL Chahar,79,8,59,59.0,1385.0,1739.0,63,1.25,133.9,13.56,7.53,29.47,23.47,10.0,0.0
149,DL Vettori,121,13,118,28.0,785.0,894.0,34,3.56,102.54,11.02,6.83,31.93,28.04,11.0,0.0
150,DM Bravo,6,1,5,0.0,0.0,0.0,1,6.0,120.0,20.0,0.0,0.0,0.0,0.0,0.0
151,DNT Zoysa,11,1,9,2.0,69.0,100.0,3,3.67,122.22,11.11,8.7,50.0,34.5,0.0,0.0
152,DP Conway,252,35,176,0.0,0.0,0.0,7,36.0,143.18,19.89,0.0,0.0,0.0,2.0,0.0
153,DP Nannes,4,0,13,28.0,689.0,815.0,29,0.14,30.77,0.0,7.1,29.11,24.61,8.0,0.0
154,DP Vijaykumar,1,0,1,4.0,159.0,205.0,9,0.11,100.0,0.0,7.74,51.25,39.75,0.0,0.0
155,DPMD Jayawardene,1808,240,1522,0.0,0.0,0.0,78,23.18,118.79,15.77,0.0,0.0,0.0,33.0,0.0
156,DR Martyn,19,1,26,0.0,0.0,0.0,1,19.0,73.08,3.85,0.0,0.0,0.0,0.0,0.0
157,DR Sams,44,4,48,14.0,389.0,528.0,16,2.75,91.67,8.33,8.14,37.71,27.79,10.0,0.0
158,DR Shorey,13,1,20,0.0,0.0,0.0,2,6.5,65.0,5.0,0.0,0.0,0.0,6.0,0.0
159,DR Smith,2385,362,1803,26.0,557.0,825.0,91,26.21,132.28,20.08,8.89,31.73,21.42,41.0,0.0
160,DS Kulkarni,104,9,113,86.0,1876.0,2513.0,92,1.13,92.04,7.96,8.04,29.22,21.81,18.0,0.0
161,DS Lehmann,18,3,19,0.0,0.0,0.0,2,9.0,94.74,15.79,0.0,0.0,0.0,0.0,0.0
162,DT Christian,460,42,408,38.0,922.0,1218.0,49,9.39,112.75,10.29,7.93,32.05,24.26,28.0,0.0
163,DT Patil,13,1,13,0.0,0.0,0.0,2,6.5,100.0,7.69,0.0,0.0,0.0,2.0,0.0
164,DW Steyn,167,17,163,97.0,2282.0,2583.0,95,1.76,102.45,10.43,6.79,26.63,23.53,22.0,0.0
165,E Lewis,654,98,499,0.0,0.0,0.0,26,25.15,131.06,19.64,0.0,0.0,0.0,9.0,0.0
166,EJG Morgan,1406,176,1181,0.0,0.0,0.0,74,19.0,119.05,14.9,0.0,0.0,0.0,36.0,0.0
167,ER Dwivedi,24,4,15,0.0,0.0,0.0,2,12.0,160.0,26.67,0.0,0.0,0.0,2.0,0.0
168,F Behardien,14,2,13,0.0,0.0,0.0,3,4.67,107.69,15.38,0.0,0.0,0.0,1.0,0.0
169,F du Plessis,3403,424,2676,0.0,6.0,16.0,109,31.22,127.17,15.84,16.0,160000.0,60000.0,71.0,0.0
170,FA Allen,14,1,19,2.0,91.0,136.0,5,2.8,73.68,5.26,8.97,68.0,45.5,2.0,0.0
171,FH Edwards,4,0,5,5.0,150.0,160.0,6,0.67,80.0,0.0,6.4,32.0,30.0,0.0,0.0
172,FY Fazal,183,23,179,0.0,12.0,20.0,12,15.25,102.23,12.85,10.0,200000.0,120000.0,7.0,0.0
173,Fazalhaq Farooqi,2,0,8,2.0,76.0,110.0,3,0.67,25.0,0.0,8.68,55.0,38.0,0.0,0.0
174,G Gambhir,4217,551,3524,0.0,0.0,0.0,151,27.93,119.67,15.64,0.0,0.0,0.0,28.0,0.0
175,GB Hogg,22,1,22,23.0,466.0,585.0,21,1.05,100.0,4.55,7.53,25.43,20.26,4.0,0.0
176,GC Smith,739,103,691,0.0,0.0,0.0,29,25.48,106.95,14.91,0.0,0.0,0.0,7.0,0.0
177,GC Viljoen,3,0,7,7.0,146.0,229.0,6,0.5,42.86,0.0,9.41,32.71,20.86,0.0,0.0
178,GD McGrath,4,1,5,12.0,329.0,366.0,14,0.29,80.0,20.0,6.67,30.5,27.42,2.0,0.0
179,GD Phillips,26,3,33,1.0,13.0,20.0,3,8.67,78.79,9.09,9.23,20.0,13.0,1.0,0.0
180,GH Vihari,284,24,331,1.0,43.0,48.0,23,12.35,85.8,7.25,6.7,48.0,43.0,6.0,0.0
181,GHS Garton,2,0,4,3.0,97.0,136.0,5,0.4,50.0,0.0,8.41,45.33,32.33,1.0,0.0
182,GJ Bailey,663,78,552,0.0,0.0,0.0,36,18.42,120.11,14.13,0.0,0.0,0.0,12.0,0.0
183,GJ Maxwell,2320,325,1571,28.0,803.0,1087.0,109,21.28,147.68,20.69,8.12,38.82,28.68,40.0,0.0
184,GR Napier,15,1,16,1.0,24.0,28.0,1,15.0,93.75,6.25,7.0,28.0,24.0,0.0,0.0
185,Gurkeerat Singh,511,66,436,5.0,82.0,97.0,32,15.97,117.2,15.14,7.1,19.4,16.4,20.0,1.0
186,H Das,2,0,5,0.0,0.0,0.0,1,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
187,H Klaasen,66,6,58,0.0,0.0,0.0,6,11.0,113.79,10.34,0.0,0.0,0.0,4.0,4.0
188,HE van der Dussen,22,2,25,0.0,0.0,0.0,3,7.33,88.0,8.0,0.0,0.0,0.0,0.0,0.0
189,HF Gurney,1,0,5,7.0,169.0,239.0,8,0.12,20.0,0.0,8.49,34.14,24.14,0.0,0.0
190,HH Gibbs,886,114,837,0.0,0.0,0.0,36,24.61,105.85,13.62,0.0,0.0,0.0,22.0,0.0
191,HH Pandya,1972,257,1406,50.0,1103.0,1566.0,105,18.78,140.26,18.28,8.52,31.32,22.06,52.0,0.0
192,HM Amla,577,81,418,0.0,0.0,0.0,16,36.06,138.04,19.38,0.0,0.0,0.0,0.0,0.0
193,HR Shokeen,43,5,48,2.0,94.0,130.0,5,8.6,89.58,10.42,8.3,65.0,47.0,2.0,0.0
194,HV Patel,230,28,189,97.0,1665.0,2262.0,77,2.99,121.69,14.81,8.15,23.32,17.16,16.0,0.0
195,Harbhajan Singh,833,121,636,150.0,3496.0,4101.0,163,5.11,130.97,19.03,7.04,27.34,23.31,38.0,0.0
196,Harmeet Singh,18,3,12,27.0,574.0,747.0,28,0.64,150.0,25.0,7.81,27.67,21.26,3.0,0.0
197,Harpreet Brar,106,11,100,9.0,296.0,379.0,15,7.07,106.0,11.0,7.68,42.11,32.89,5.0,0.0
198,Harpreet Singh,20,0,26,0.0,0.0,0.0,3,6.67,76.92,0.0,0.0,0.0,0.0,2.0,0.0
199,Harshit Rana,2,0,2,1.0,31.0,52.0,2,1.0,100.0,0.0,10.06,51.99,31.0,0.0,0.0
200,I Malhotra,7,1,4,0.0,6.0,23.0,1,7.0,175.0,25.0,23.0,230000.0,60000.0,0.0,0.0
201,I Sharma,55,6,62,72.0,2090.0,2779.0,93,0.59,88.71,9.68,7.98,38.6,29.03,16.0,0.0
202,I Udana,15,2,11,8.0,182.0,286.0,10,1.5,136.36,18.18,9.43,35.75,22.75,3.0,0.0
203,IC Pandey,0,0,2,18.0,469.0,609.0,24,0.0,0.0,0.0,7.79,33.83,26.06,6.0,0.0
204,IK Pathan,1150,126,985,80.0,2113.0,2711.0,102,11.27,116.75,12.79,7.7,33.89,26.41,28.0,0.0
205,IR Jaggi,76,6,100,0.0,0.0,0.0,7,10.86,76.0,6.0,0.0,0.0,0.0,2.0,0.0
206,IS Sodhi,7,0,18,9.0,182.0,204.0,8,0.88,38.89,0.0,6.73,22.67,20.22,0.0,0.0
207,Imran Tahir,33,5,37,82.0,1340.0,1729.0,59,0.56,89.19,13.51,7.74,21.09,16.34,8.0,0.0
208,Iqbal Abdulla,88,10,86,40.0,943.0,1125.0,48,1.83,102.33,11.63,7.16,28.12,23.57,12.0,0.0
209,Ishan Kishan,1870,251,1444,0.0,0.0,0.0,70,26.71,129.5,17.38,0.0,0.0,0.0,33.0,2.0
210,J Arunkumar,23,5,24,0.0,0.0,0.0,3,7.67,95.83,20.83,0.0,0.0,0.0,0.0,0.0
211,J Botha,409,44,364,25.0,709.0,818.0,34,12.03,112.36,12.09,6.92,32.72,28.36,16.0,0.0
212,J Suchith,70,9,62,19.0,434.0,604.0,21,3.33,112.9,14.52,8.35,31.79,22.84,17.0,0.0
213,J Syed Mohammad,29,4,27,8.0,196.0,286.0,11,2.64,107.41,14.81,8.76,35.75,24.5,1.0,0.0
214,J Theron,10,1,13,11.0,235.0,311.0,10,1.0,76.92,7.69,7.94,28.27,21.36,1.0,0.0
215,J Yadav,40,3,38,8.0,374.0,421.0,19,2.11,105.26,7.89,6.75,52.62,46.75,5.0,0.0
216,JA Morkel,975,116,712,85.0,1807.0,2409.0,90,10.83,136.94,16.29,8.0,28.34,21.26,17.0,0.0
217,JA Richardson,15,2,25,3.0,69.0,122.0,3,5.0,60.0,8.0,10.61,40.67,23.0,1.0,0.0
218,JC Archer,195,25,128,46.0,858.0,1008.0,35,5.57,152.34,19.53,7.05,21.91,18.65,7.0,0.0
219,JC Buttler,2832,413,1955,0.0,0.0,0.0,81,34.96,144.86,21.13,0.0,0.0,0.0,43.0,1.0
220,JD Ryder,604,88,466,8.0,241.0,314.0,29,20.83,129.61,18.88,7.82,39.25,30.12,10.0,0.0
221,JD Unadkat,164,19,136,91.0,1942.0,2806.0,90,1.82,120.59,13.97,8.67,30.84,21.34,19.0,0.0
